file	gene	hit	count	trait
UKB_50_Standing_height	PFN4	1	1	Height (UKB)
UKB_50_Standing_height	RIBC2	3	1	Height (UKB)
UKB_50_Standing_height	SHMT1	5	1	Height (UKB)
UKB_50_Standing_height	SYNGR3	2	1	Height (UKB)
UKB_50_Standing_height	USP36	3	1	Height (UKB)
UKB_50_Standing_height	WDR6	3	1	Height (UKB)
UKB_50_Standing_height	XRRA1	3	1	Height (UKB)
UKB_6152_8_diagnosed_by_doctor_Asthma	AHI1	3	1	Asthma, Diagnosed (UKB)
UKB_6152_8_diagnosed_by_doctor_Asthma	ORMDL3	1	1	Asthma, Diagnosed (UKB)
UKB_6152_8_diagnosed_by_doctor_Asthma	TLR6	1	1	Asthma, Diagnosed (UKB)
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	AHI1	3	1	Allergic Rhinitis/Eczema, Diagnosed (UKB)
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	ORMDL3	1	1	Allergic Rhinitis/Eczema, Diagnosed (UKB)
UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	TLR6	1	1	Allergic Rhinitis/Eczema, Diagnosed (UKB)
