hg38_chrom	hg38_pos	hg19_chrom	hg19_pos
chr12	101660365	chr12	102054143
chr12	101664556	chr12	102058334
chr12	101668425	chr12	102062203
chr12	101669217	chr12	102062995
chr12	101669396	chr12	102063174
chr12	101672898	chr12	102066676
chr12	101674009	chr12	102067787
chr12	101675299	chr12	102069077
chr12	101675916	chr12	102069694
chr1	42616565	chr1	43082236
chr12	101678906	chr12	102072684
chr12	101680148	chr12	102073926
chr12	101680948	chr12	102074726
chr12	101683151	chr12	102076929
chr12	101685056	chr12	102078834
chr12	101705565	chr12	102099343
chr12	101879572	chr12	102273350
chr12	101917924	chr12	102311702
chr12	101918034	chr12	102311812
chr1	42708393	chr1	43174064
chr12	101918745	chr12	102312523
chr12	101918745	chr12	102312523
chr12	101918751	chr12	102312529
chr12	101918751	chr12	102312529
chr12	101918880	chr12	102312658
chr12	101919079	chr12	102312857
chr12	101919305	chr12	102313083
chr12	101919305	chr12	102313083
chr12	101919305	chr12	102313083
chr12	101919305	chr12	102313083
chr12	101919312	chr12	102313090
chr12	101919312	chr12	102313090
chr12	101919312	chr12	102313090
chr12	101919312	chr12	102313090
chr12	101919326	chr12	102313104
chr12	101919326	chr12	102313104
chr12	101919326	chr12	102313104
chr12	101919326	chr12	102313104
chr12	101919587	chr12	102313365
chr12	101921814	chr12	102315592
chr12	101921968	chr12	102315746
chr12	101923363	chr12	102317141
chr12	109551636	chr12	109989441
chr12	120608172	chr12	121045975
chr12	120608172	chr12	121045975
chr12	120608231	chr12	121046034
chr12	120608231	chr12	121046034
chr12	120610637	chr12	121048440
chr12	120617587	chr12	121055390
chr12	120622947	chr12	121060750
chr12	120622947	chr12	121060750
chr12	120623008	chr12	121060811
chr12	120623008	chr12	121060811
chr12	120626228	chr12	121064031
chr1	42712636	chr1	43178307
chr12	120629468	chr12	121067271
chr12	120630450	chr12	121068253
chr12	120632876	chr12	121070679
chr12	120636039	chr12	121073842
chr12	120641350	chr12	121079153
chr12	120642449	chr12	121080252
chr12	120642449	chr12	121080252
chr12	120642450	chr12	121080253
chr12	120642450	chr12	121080253
chr12	120644421	chr12	121082224
chr12	120647725	chr12	121085528
chr1	42713812	chr1	43179483
chr12	120650566	chr12	121088369
chr12	120652132	chr12	121089935
chr12	120652967	chr12	121090770
chr12	120655412	chr12	121093215
chr12	120670456	chr12	121108259
chr12	120671754	chr12	121109557
chr12	120677165	chr12	121114968
chr12	120681254	chr12	121119057
chr12	120683761	chr12	121121564
chr12	120684747	chr12	121122550
chr1	42715659	chr1	43181330
chr12	120951299	chr12	121389102
chr12	120972365	chr12	121410168
chr12	120981188	chr12	121418991
chr12	120989098	chr12	121426901
chr12	120991628	chr12	121429431
chr12	120992098	chr12	121429901
chr12	120999311	chr12	121437114
chr12	121007193	chr12	121444996
chr12	121014701	chr12	121452504
chr1	42717252	chr1	43182923
chr12	121021541	chr12	121459344
chr12	121022883	chr12	121460686
chr12	121025232	chr12	121463035
chr12	121034128	chr12	121471931
chr12	121099654	chr12	121537457
chr12	121143858	chr12	121581661
chr12	121143858	chr12	121581661
chr12	121143878	chr12	121581681
chr12	121143878	chr12	121581681
chr12	121146134	chr12	121583937
chr12	121151396	chr12	121589199
chr1	42717395	chr1	43183066
chr12	121264480	chr12	121702283
chr12	123778117	chr12	124262664
chr12	123823095	chr12	124307642
chr12	123829182	chr12	124313729
chr12	123835317	chr12	124319864
chr12	123836974	chr12	124321521
chr12	132070064	chr12	132554609
chr12	132126480	chr12	132611025
chr12	132146277	chr12	132630822
chr12	132200578	chr12	132685123
chr1	42721396	chr1	43187067
chr12	132209983	chr12	132694528
chr12	132213533	chr12	132698078
chr13	20547705	chr13	21121844
chr13	20548293	chr13	21122432
chr13	20549163	chr13	21123302
chr13	20554293	chr13	21128432
chr13	20555249	chr13	21129388
chr13	20555373	chr13	21129512
chr1	42723633	chr1	43189304
chr13	20565163	chr13	21139302
chr13	20566391	chr13	21140530
chr13	27326187	chr13	27900324
chr13	27329196	chr13	27903333
chr13	27329796	chr13	27903933
chr13	27330041	chr13	27904178
chr13	27330449	chr13	27904586
chr13	27330449	chr13	27904586
chr13	27330449	chr13	27904586
chr13	27330449	chr13	27904586
chr13	27330512	chr13	27904649
chr13	27330512	chr13	27904649
chr13	27330513	chr13	27904650
chr13	27330513	chr13	27904650
chr13	27330586	chr13	27904723
chr13	27330586	chr13	27904723
chr13	27330586	chr13	27904723
chr13	27333744	chr13	27907881
chr13	27335347	chr13	27909484
chr13	27336979	chr13	27911116
chr13	27340519	chr13	27914656
chr13	27341530	chr13	27915667
chr13	27344502	chr13	27918639
chr13	27344561	chr13	27918698
chr13	27344561	chr13	27918698
chr13	27344897	chr13	27919034
chr13	27345109	chr13	27919246
chr1	42728923	chr1	43194594
chr13	27345373	chr13	27919510
chr13	27345511	chr13	27919648
chr13	27345511	chr13	27919648
chr13	27345552	chr13	27919689
chr13	27345552	chr13	27919689
chr13	27346315	chr13	27920452
chr13	27346315	chr13	27920452
chr13	27346315	chr13	27920452
chr13	27346315	chr13	27920452
chr13	27346331	chr13	27920468
chr13	27346331	chr13	27920468
chr13	27346331	chr13	27920468
chr13	27346331	chr13	27920468
chr13	27346357	chr13	27920494
chr13	27346357	chr13	27920494
chr13	27346357	chr13	27920494
chr13	27346357	chr13	27920494
chr13	27346520	chr13	27920657
chr13	27346520	chr13	27920657
chr13	27346529	chr13	27920666
chr13	27346529	chr13	27920666
chr13	27347105	chr13	27921242
chr13	27347521	chr13	27921658
chr13	27347521	chr13	27921658
chr13	27347580	chr13	27921717
chr13	27347580	chr13	27921717
chr13	27347580	chr13	27921717
chr13	27347580	chr13	27921717
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347628	chr13	27921765
chr13	27347665	chr13	27921802
chr13	27347665	chr13	27921802
chr13	27347665	chr13	27921802
chr13	27347665	chr13	27921802
chr13	27347688	chr13	27921825
chr13	27347688	chr13	27921825
chr13	27347688	chr13	27921825
chr13	27347688	chr13	27921825
chr13	27347862	chr13	27921999
chr13	27348027	chr13	27922164
chr13	27348437	chr13	27922574
chr13	27349087	chr13	27923224
chr13	27349087	chr13	27923224
chr13	27349087	chr13	27923224
chr13	27349100	chr13	27923237
chr13	27349108	chr13	27923245
chr13	27349108	chr13	27923245
chr13	27349108	chr13	27923245
chr1	42734068	chr1	43199739
chr13	27349410	chr13	27923547
chr13	27349510	chr13	27923647
chr13	27350166	chr13	27924303
chr13	27350467	chr13	27924604
chr13	27350815	chr13	27924952
chr13	27350924	chr13	27925061
chr13	27350924	chr13	27925061
chr13	27350987	chr13	27925124
chr13	27350987	chr13	27925124
chr13	27351350	chr13	27925487
chr13	27351618	chr13	27925755
chr13	27351618	chr13	27925755
chr13	27351657	chr13	27925794
chr13	27351657	chr13	27925794
chr13	27351996	chr13	27926133
chr13	27352147	chr13	27926284
chr13	27355492	chr13	27929629
chr13	27356053	chr13	27930190
chr14	22653506	chr14	23122715
chr14	22654222	chr14	23123431
chr14	22654706	chr14	23123915
chr14	22656590	chr14	23125799
chr14	22720808	chr14	23190017
chr14	22724883	chr14	23194092
chr1	42737063	chr1	43202734
chr14	22732408	chr14	23201617
chr14	24087390	chr14	24556599
chr14	24121304	chr14	24590513
chr14	24141580	chr14	24610789
chr14	24142459	chr14	24611668
chr14	50087080	chr14	50553798
chr14	50111167	chr14	50577885
chr1	42743831	chr1	43209502
chr14	50141366	chr14	50608084
chr14	50165842	chr14	50632560
chr14	50166396	chr14	50633114
chr14	70058122	chr14	70524839
chr14	70115364	chr14	70582081
chr14	70178591	chr14	70645308
chr14	70184117	chr14	70650834
chr14	72860552	chr14	73327260
chr14	73494382	chr14	73961086
chr1	42744267	chr1	43209938
chr14	73496101	chr14	73962805
chr14	73552718	chr14	74019422
chr14	73669010	chr14	74135713
chr14	77040862	chr14	77507205
chr14	77041582	chr14	77507925
chr14	77043529	chr14	77509872
chr14	77046830	chr14	77513173
chr14	77047457	chr14	77513800
chr14	77050478	chr14	77516821
chr14	77050805	chr14	77517148
chr1	42746620	chr1	43212291
chr1	7751961	chr1	7812021
chr14	77051443	chr14	77517786
chr14	77051551	chr14	77517894
chr14	77052233	chr14	77518576
chr14	77053254	chr14	77519597
chr14	77054509	chr14	77520852
chr14	77058244	chr14	77524587
chr14	77061022	chr14	77527365
chr14	77062276	chr14	77528619
chr14	92022550	chr14	92488894
chr1	42747255	chr1	43212926
chr14	92029192	chr14	92495536
chr14	92030269	chr14	92496613
chr14	92030897	chr14	92497241
chr14	92032485	chr14	92498829
chr14	92033504	chr14	92499848
chr14	92033664	chr14	92500008
chr14	92035651	chr14	92501995
chr14	92035913	chr14	92502257
chr14	92043698	chr14	92510042
chr1	42747614	chr1	43213285
chr14	92047604	chr14	92513948
chr14	92048026	chr14	92514370
chr14	92049652	chr14	92515996
chr14	92050341	chr14	92516685
chr14	92051626	chr14	92517970
chr14	92058801	chr14	92525145
chr14	92061055	chr14	92527399
chr14	92086884	chr14	92553228
chr14	92087954	chr14	92554298
chr14	92092107	chr14	92558451
chr14	92095265	chr14	92561609
chr14	104836300	chr14	105302637
chr14	104836413	chr14	105302750
chr14	104842868	chr14	105309205
chr14	104844100	chr14	105310437
chr14	104844100	chr14	105310437
chr14	104844100	chr14	105310437
chr14	104844100	chr14	105310437
chr14	104844117	chr14	105310454
chr14	104844117	chr14	105310454
chr14	104844117	chr14	105310454
chr14	104844117	chr14	105310454
chr14	104844122	chr14	105310459
chr14	104844122	chr14	105310459
chr14	104844122	chr14	105310459
chr14	104844122	chr14	105310459
chr14	104845233	chr14	105311570
chr14	104845233	chr14	105311570
chr14	104848739	chr14	105315076
chr14	104848739	chr14	105315076
chr1	42750617	chr1	43216288
chr14	104848750	chr14	105315087
chr14	104848750	chr14	105315087
chr14	104848864	chr14	105315201
chr14	104849907	chr14	105316244
chr14	104850407	chr14	105316744
chr14	104850936	chr14	105317273
chr14	104864023	chr14	105330360
chr1	42750843	chr1	43216514
chr14	104869541	chr14	105335878
chr14	104871466	chr14	105337803
chr14	104894018	chr14	105360355
chr14	104896820	chr14	105363157
chr14	104897073	chr14	105363410
chr14	104897710	chr14	105364047
chr14	104914935	chr14	105381272
chr14	105074965	chr14	105541302
chr15	40677440	chr15	40969638
chr1	42753831	chr1	43219502
chr15	41336999	chr15	41629197
chr15	41341725	chr15	41633923
chr15	41498698	chr15	41790896
chr15	41502267	chr15	41794465
chr15	63785687	chr15	64077886
chr15	64727522	chr15	65019721
chr15	64731260	chr15	65023459
chr15	64742090	chr15	65034289
chr1	42757818	chr1	43223489
chr15	64789760	chr15	65081959
chr15	75304012	chr15	75596353
chr15	75309580	chr15	75601921
chr15	75309869	chr15	75602210
chr15	75316491	chr15	75608832
chr15	75328469	chr15	75620810
chr15	75337789	chr15	75630130
chr1	42760455	chr1	43226126
chr15	75459420	chr15	75751761
chr15	75478762	chr15	75771103
chr15	79882046	chr15	80174388
chr15	79884007	chr15	80176349
chr15	79895664	chr15	80188006
chr15	82882854	chr15	83551606
chr15	82882854	chr15	83551606
chr15	82882880	chr15	83551632
chr15	82882880	chr15	83551632
chr1	42766833	chr1	43232504
chr15	82900983	chr15	83569735
chr15	82906288	chr15	83575040
chr16	248138	chr16	298137
chr16	268051	chr16	318050
chr16	534026	chr16	584026
chr16	846679	chr16	896679
chr16	2863115	chr16	2913116
chr16	2866093	chr16	2916094
chr16	2866393	chr16	2916394
chr1	44356425	chr1	44822097
chr1	7757564	chr1	7817624
chr16	2869511	chr16	2919512
chr16	2870763	chr16	2920764
chr16	2871992	chr16	2921993
chr16	2885344	chr16	2935345
chr16	4364972	chr16	4414973
chr16	10909300	chr16	11003157
chr16	10910506	chr16	11004363
chr16	10912764	chr16	11006621
chr16	10937299	chr16	11031156
chr16	10981161	chr16	11075018
chr16	10989229	chr16	11083086
chr16	11006726	chr16	11100583
chr16	11043081	chr16	11136938
chr16	11046795	chr16	11140652
chr16	11047464	chr16	11141321
chr16	11051862	chr16	11145719
chr1	47318253	chr1	47783925
chr1	47318253	chr1	47783925
chr16	11059640	chr16	11153497
chr16	11093558	chr16	11187415
chr16	11093879	chr16	11187736
chr16	11097073	chr16	11190930
chr16	11101896	chr16	11195753
chr16	11106630	chr16	11200487
chr16	11107823	chr16	11201680
chr16	11109818	chr16	11203675
chr16	11110796	chr16	11204653
chr16	11114233	chr16	11208090
chr1	47318294	chr1	47783966
chr16	11115135	chr16	11208992
chr16	11115419	chr16	11209276
chr16	11160621	chr16	11254478
chr16	11161397	chr16	11255254
chr16	11187211	chr16	11281068
chr16	11387468	chr16	11481325
chr16	11387638	chr16	11481495
chr16	11391835	chr16	11485692
chr16	11392443	chr16	11486300
chr1	47354520	chr1	47820192
chr16	11392805	chr16	11486662
chr16	11392805	chr16	11486662
chr16	11392829	chr16	11486686
chr16	11392829	chr16	11486686
chr16	11393320	chr16	11487177
chr16	11394143	chr16	11488000
chr16	11394582	chr16	11488439
chr16	11395200	chr16	11489057
chr16	11395963	chr16	11489820
chr16	11396098	chr16	11489955
chr16	11396098	chr16	11489955
chr16	11396141	chr16	11489998
chr16	11396141	chr16	11489998
chr16	11399409	chr16	11493266
chr1	47355698	chr1	47821370
chr16	11403830	chr16	11497686
chr16	23811040	chr16	23822361
chr16	23811288	chr16	23822609
chr16	23811288	chr16	23822609
chr16	23811290	chr16	23822611
chr16	23811290	chr16	23822611
chr16	23815269	chr16	23826590
chr16	23816760	chr16	23828081
chr16	23817336	chr16	23828657
chr16	23819705	chr16	23831026
chr16	23819857	chr16	23831178
chr1	47357742	chr1	47823414
chr16	23819932	chr16	23831253
chr16	23821198	chr16	23832519
chr16	23821781	chr16	23833102
chr16	23826599	chr16	23837920
chr16	23829463	chr16	23840784
chr16	23834475	chr16	23845796
chr16	23836254	chr16	23847575
chr16	23838794	chr16	23850115
chr1	47362770	chr1	47828442
chr16	23838980	chr16	23850301
chr16	23887338	chr16	23898659
chr16	23887338	chr16	23898659
chr16	23887373	chr16	23898694
chr16	23887373	chr16	23898694
chr16	28623104	chr16	28634425
chr16	28639042	chr16	28650363
chr16	28665996	chr16	28677317
chr16	49971351	chr16	50005262
chr1	47367541	chr1	47833213
chr16	50010141	chr16	50044052
chr16	50028700	chr16	50062611
chr16	50130048	chr16	50163959
chr16	50130797	chr16	50164708
chr16	50131323	chr16	50165234
chr16	50131508	chr16	50165419
chr16	56429713	chr16	56463625
chr16	56577940	chr16	56611852
chr16	58052516	chr16	58086420
chr1	47369572	chr1	47835244
chr16	58053730	chr16	58087634
chr16	58055895	chr16	58089799
chr16	58056057	chr16	58089961
chr16	58057750	chr16	58091654
chr16	58059461	chr16	58093365
chr16	58059553	chr16	58093457
chr16	58059846	chr16	58093750
chr16	58060108	chr16	58094012
chr16	58060187	chr16	58094091
chr16	58060987	chr16	58094891
chr1	47369930	chr1	47835602
chr16	58061127	chr16	58095031
chr16	58062687	chr16	58096591
chr16	58062687	chr16	58096591
chr16	58062687	chr16	58096591
chr16	58062687	chr16	58096591
chr16	58062710	chr16	58096614
chr16	58062710	chr16	58096614
chr16	58062710	chr16	58096614
chr16	58062710	chr16	58096614
chr16	58062711	chr16	58096615
chr16	58062711	chr16	58096615
chr16	58062711	chr16	58096615
chr16	58062711	chr16	58096615
chr16	58065281	chr16	58099185
chr16	58065524	chr16	58099428
chr16	58065656	chr16	58099560
chr16	58065929	chr16	58099833
chr16	58066008	chr16	58099912
chr16	58066324	chr16	58100228
chr1	47382763	chr1	47848435
chr16	58067326	chr16	58101230
chr16	58067595	chr16	58101499
chr16	58688266	chr16	58722170
chr16	66228148	chr16	66262051
chr16	66228991	chr16	66262894
chr16	66233087	chr16	66266990
chr16	66236729	chr16	66270632
chr16	66237509	chr16	66271412
chr16	66237994	chr16	66271897
chr16	66237994	chr16	66271897
chr16	66238001	chr16	66271904
chr16	66238001	chr16	66271904
chr1	47390939	chr1	47856611
chr16	66238114	chr16	66272017
chr16	66239261	chr16	66273164
chr16	66242592	chr16	66276495
chr16	66243601	chr16	66277504
chr16	66243761	chr16	66277664
chr16	66244578	chr16	66278481
chr16	66244870	chr16	66278773
chr16	66245417	chr16	66279320
chr16	66245600	chr16	66279503
chr1	47392063	chr1	47857735
chr16	66247043	chr16	66280946
chr16	66247249	chr16	66281152
chr16	66247452	chr16	66281355
chr16	66247452	chr16	66281355
chr16	66247471	chr16	66281374
chr16	66247471	chr16	66281374
chr16	66247476	chr16	66281379
chr16	66247476	chr16	66281379
chr16	66248253	chr16	66282156
chr1	47392382	chr1	47858054
chr16	66249150	chr16	66283053
chr16	69102909	chr16	69136812
chr16	69104022	chr16	69137925
chr16	69104369	chr16	69138272
chr16	69111573	chr16	69145476
chr16	69112585	chr16	69146488
chr16	69113758	chr16	69147661
chr16	69113915	chr16	69147818
chr16	69116022	chr16	69149925
chr16	69121406	chr16	69155309
chr16	69123474	chr16	69157377
chr16	69123721	chr16	69157624
chr16	69147827	chr16	69181730
chr16	69153367	chr16	69187270
chr16	69159416	chr16	69193319
chr16	69161230	chr16	69195133
chr16	69167147	chr16	69201050
chr16	69325390	chr16	69359293
chr1	47401478	chr1	47867150
chr16	69420449	chr16	69454352
chr16	69420640	chr16	69454543
chr16	69422689	chr16	69456592
chr16	69425353	chr16	69459256
chr16	69427665	chr16	69461568
chr16	69429096	chr16	69462999
chr16	69438537	chr16	69472440
chr16	69440112	chr16	69474015
chr16	69441489	chr16	69475392
chr16	69443871	chr16	69477774
chr1	47402067	chr1	47867739
chr16	69450627	chr16	69484530
chr16	69452678	chr16	69486581
chr16	69452984	chr16	69486887
chr16	69454281	chr16	69488184
chr16	69455556	chr16	69489459
chr16	69478160	chr16	69512063
chr16	85739782	chr16	85773388
chr16	85760040	chr16	85793646
chr16	86454951	chr16	86488557
chr16	86492085	chr16	86525691
chr1	47423511	chr1	47889183
chr16	86502151	chr16	86535757
chr16	86571435	chr16	86605041
chr16	86575431	chr16	86609037
chr16	86616852	chr16	86650458
chr16	88640580	chr16	88706988
chr16	88641799	chr16	88708207
chr16	88839775	chr16	88906183
chr17	217013	chr17	66804
chr17	217138	chr17	66929
chr17	223168	chr17	72959
chr1	52815758	chr1	53281430
chr17	227523	chr17	77314
chr17	230842	chr17	80633
chr17	4982620	chr17	4885915
chr17	4984816	chr17	4888111
chr17	4999178	chr17	4902473
chr17	5061519	chr17	4964814
chr17	5062805	chr17	4966100
chr17	5065813	chr17	4969108
chr17	5065941	chr17	4969236
chr1	53032014	chr1	53497686
chr1	7773891	chr1	7833951
chr17	5066303	chr17	4969598
chr17	5066303	chr17	4969598
chr17	5066327	chr17	4969622
chr17	5066327	chr17	4969622
chr17	5068360	chr17	4971655
chr17	5068825	chr17	4972120
chr17	5070487	chr17	4973782
chr17	5071758	chr17	4975053
chr17	5072131	chr17	4975426
chr17	5072131	chr17	4975426
chr17	5072134	chr17	4975429
chr17	5072134	chr17	4975429
chr17	5073647	chr17	4976942
chr17	5106853	chr17	5010148
chr1	53032891	chr1	53498563
chr17	5358589	chr17	5261884
chr17	5382982	chr17	5286277
chr17	5417403	chr17	5320723
chr17	5437745	chr17	5341065
chr17	5438525	chr17	5341845
chr17	5441504	chr17	5344824
chr17	5447564	chr17	5350884
chr17	5447564	chr17	5350884
chr17	5447565	chr17	5350885
chr17	5447565	chr17	5350885
chr1	53033553	chr1	53499225
chr17	5450884	chr17	5354204
chr17	5451320	chr17	5354640
chr17	5455870	chr17	5359190
chr17	5460166	chr17	5363486
chr17	5464334	chr17	5367654
chr17	5466692	chr17	5370012
chr17	5469370	chr17	5372690
chr17	5495418	chr17	5398738
chr17	5501180	chr17	5404500
chr17	5517685	chr17	5421005
chr17	5517685	chr17	5421005
chr1	53033840	chr1	53499512
chr17	5517686	chr17	5421006
chr17	5517686	chr17	5421006
chr17	15667930	chr17	15571244
chr17	29516012	chr17	27843030
chr17	32242917	chr17	30569936
chr17	32252666	chr17	30579685
chr17	32255723	chr17	30582742
chr17	32256202	chr17	30583221
chr17	32256603	chr17	30583622
chr17	32257180	chr17	30584199
chr17	32260662	chr17	30587681
chr17	32260783	chr17	30587802
chr17	32261245	chr17	30588264
chr17	32263298	chr17	30590317
chr17	32263867	chr17	30590886
chr17	32264246	chr17	30591265
chr17	32264246	chr17	30591265
chr17	32264284	chr17	30591303
chr17	32264284	chr17	30591303
chr17	32264361	chr17	30591380
chr17	32264510	chr17	30591529
chr17	32265186	chr17	30592205
chr17	32265447	chr17	30592466
chr1	53036897	chr1	53502569
chr17	32266844	chr17	30593863
chr17	32401111	chr17	30728130
chr17	34803789	chr17	33130808
chr17	34857625	chr17	33184644
chr17	36473009	chr17	34828861
chr17	42114921	chr17	40266939
chr17	42840948	chr17	40992965
chr17	43216063	chr17	41368082
chr17	43220755	chr17	41372775
chr17	43509676	chr17	41587044
chr1	53039431	chr1	53505103
chr17	43514187	chr17	41591555
chr17	43556974	chr17	41634342
chr17	43597309	chr17	41674677
chr17	43645171	chr17	41722539
chr17	44119096	chr17	42196464
chr17	47971759	chr17	46049125
chr17	47981705	chr17	46059071
chr17	47982002	chr17	46059368
chr1	53039924	chr1	53505596
chr17	47992614	chr17	46069980
chr17	49122070	chr17	47199432
chr17	50431787	chr17	48509148
chr17	50468741	chr17	48546102
chr17	50470615	chr17	48547976
chr17	50480904	chr17	48558265
chr17	50488211	chr17	48565572
chr17	50495972	chr17	48573333
chr17	50517612	chr17	48594973
chr17	50519121	chr17	48596482
chr1	53041183	chr1	53506855
chr17	50525510	chr17	48602871
chr17	50528040	chr17	48605401
chr17	50585570	chr17	48662931
chr17	55328832	chr17	53406193
chr17	55335554	chr17	53412915
chr17	55337471	chr17	53414832
chr17	55339099	chr17	53416460
chr17	55434679	chr17	53512040
chr17	60156793	chr17	58234154
chr1	53045303	chr1	53510975
chr17	75366066	chr17	73362147
chr17	76324777	chr17	74320858
chr17	76379662	chr17	74375743
chr17	81544646	chr17	79511672
chr17	82743856	chr17	80701732
chr17	82746355	chr17	80704231
chr18	154192	chr18	154192
chr18	157065	chr18	157065
chr18	160887	chr18	160887
chr18	162214	chr18	162214
chr1	53045474	chr1	53511146
chr1	7776738	chr1	7836798
chr18	166277	chr18	166277
chr18	166710	chr18	166710
chr18	166819	chr18	166819
chr18	167536	chr18	167536
chr18	169484	chr18	169484
chr18	171973	chr18	171973
chr18	172410	chr18	172410
chr18	172713	chr18	172713
chr18	173269	chr18	173269
chr1	53047269	chr1	53512941
chr18	173718	chr18	173718
chr18	175140	chr18	175140
chr18	181870	chr18	181870
chr18	182139	chr18	182139
chr18	186210	chr18	186210
chr18	186998	chr18	186998
chr18	188570	chr18	188570
chr18	195405	chr18	195405
chr18	195644	chr18	195644
chr1	53049056	chr1	53514728
chr18	196098	chr18	196098
chr18	199557	chr18	199557
chr18	206874	chr18	206874
chr18	208998	chr18	208998
chr18	209430	chr18	209430
chr18	212169	chr18	212169
chr18	213122	chr18	213122
chr18	213827	chr18	213827
chr18	214519	chr18	214519
chr18	214959	chr18	214959
chr1	53053546	chr1	53519218
chr1	53053546	chr1	53519218
chr18	217866	chr18	217866
chr18	221102	chr18	221102
chr18	223189	chr18	223189
chr18	226485	chr18	226485
chr18	229887	chr18	229887
chr18	249939	chr18	249939
chr1	53053598	chr1	53519270
chr1	53053598	chr1	53519270
chr18	250058	chr18	250058
chr18	258809	chr18	258809
chr18	260504	chr18	260504
chr18	263718	chr18	263718
chr18	266457	chr18	266457
chr18	266848	chr18	266848
chr18	267367	chr18	267367
chr18	277265	chr18	277265
chr18	281423	chr18	281423
chr1	53054123	chr1	53519795
chr18	285953	chr18	285953
chr18	286372	chr18	286372
chr18	288689	chr18	288689
chr18	289153	chr18	289153
chr18	289153	chr18	289153
chr18	289210	chr18	289210
chr18	289210	chr18	289210
chr18	9712635	chr18	9712632
