label	or	lower	upper	midp.exact	fisher.exact	chi.square	fisher.exact.bh	level	type
MXI1	2.40420112571608	2.09837307156623	2.75343164130361	0	4.97865106136716e-35	1.29292325835722e-38	1.10636690252603e-34	normal	tf
MYB	2.21358556080784	1.95829973053441	2.5007788770443	0	2.10320819156586e-35	1.13847894871279e-38	4.8073330092934e-35	normal	tf
MYC	2.31620395106671	2.04602088326269	2.62087076538913	0	1.55966442204615e-38	3.27190252801565e-42	4.09092307421941e-38	normal	tf
NBN	1.93720369217452	1.78124094139524	2.10608027660718	0	8.7159135190964e-52	2.5141601789024e-55	6.64069601454964e-51	normal	tf
NFATC3	1.90178236672602	1.73896187573193	2.07897588087921	0	2.82894043077682e-43	3.05047247659126e-46	9.63043550902747e-43	normal	tf
NIPBL	1.8008687294557	1.58861653707981	2.03936943387517	0	2.11823403121845e-19	1.16711503466613e-20	3.38917444994951e-19	normal	tf
NR2C1	2.47869571573585	2.14248911299288	2.86644943787475	0	8.60259141419792e-33	2.84008883630877e-36	1.76463413624573e-32	normal	tf
NR2C2	2.19747638382248	1.32712015727756	3.60090827733954	0.00251317388823957	0.00249237114266331	0.00226963506598043	0.0026409230650737	normal	tf
NR2F1	1.90819538962363	1.7368846921681	2.09540475735009	0	1.07384805985429e-39	1.6808023043587e-42	2.96233947546011e-39	normal	tf
NR3C1	2.17091837458098	1.94863060395181	2.4174469784733	0	5.1240646875186e-43	8.13274103927681e-47	1.68427575117919e-42	normal	tf
NRF1	2.59751847458451	2.20113678214199	3.0641949092654	0	1.95947580510617e-28	1.6553648704181e-31	3.60363366456307e-28	normal	tf
PAX5	1.91179939220108	1.76338226963251	2.07199558225296	0	1.38187825767424e-53	3.78818470105217e-57	1.57928943734199e-52	normal	tf
PBX3	2.06900324419945	1.88856204535629	2.26587391164529	0	8.15537802981935e-53	6.81861270863109e-57	8.15537802981935e-52	normal	tf
PKNOX1	1.96578993105269	1.80557369131782	2.1393002074329	0	1.21119093488094e-52	2.10899160065558e-56	1.07661416433861e-51	normal	tf
PML	1.93909860928099	1.74881284261712	2.14895206094714	0	8.13707677655378e-35	2.51150773389007e-37	1.71306879506395e-34	normal	tf
POU2F2	1.87333082647013	1.73175903754086	2.02579554139661	0	2.83224967890923e-53	1.21350808619202e-56	3.02106632416984e-52	normal	tf
RB1	2.01527981263644	1.84726361034283	2.19782934416377	0	7.47590691315616e-54	6.92915157369937e-58	1.19614510610499e-52	normal	tf
RBBP5	2.1895470511605	1.73259083397392	2.76079441817523	1.33296929050175e-10	1.34593110878665e-10	2.06310246452902e-11	1.79457481171553e-10	normal	tf
RELA	2.06319538297502	1.88650517897703	2.25561168237444	0	2.55796828148129e-54	1.44545069132215e-58	5.11593656296258e-53	normal	tf
RELB	1.90425252025403	1.7551726888377	2.06531675264044	0	4.3617139947808e-52	1.65820588755108e-55	3.48937119582464e-51	normal	tf
REST	2.20556072233083	1.97663567980085	2.45988964872745	0	1.31649858711102e-43	2.03726576059941e-47	4.57912552038616e-43	normal	tf
RNF2	2.10122765927468	1.89207453124257	2.33232641532446	0	4.744596323993e-42	1.79612573149371e-45	1.48850080752722e-41	normal	tf
RUNX3	1.86819457743594	1.72243224149352	2.02559848251623	0	1.85709152033671e-49	1.14940632600848e-52	9.58498849206044e-49	normal	tf
RXRA	2.17034619200337	1.92948533126715	2.43995986654782	0	1.53457940486262e-36	9.49142581070324e-40	3.72019249663665e-36	normal	tf
SIX5	2.21009218322666	1.96186044814714	2.48841081189407	0	3.24353696733238e-37	1.26581990947849e-40	8.2375542027489e-37	normal	tf
SMAD1	1.89588624841975	1.68996169684696	2.12528030115125	0	1.49021849252091e-26	1.67785257305294e-28	2.64927732003717e-26	normal	tf
SMAD5	2.05841226847987	1.85522217119069	2.28286382872743	0	1.72496714612636e-40	9.78090551712607e-44	4.92847756036104e-40	normal	tf
SMARCA5	1.88273600727088	1.71697869246337	2.06354671801536	0	1.22123601702764e-39	2.18020229243329e-42	3.31182648685461e-39	normal	tf
SMC1A	1.85752828325427	1.68724698801981	2.0438309861208	0	3.79695203695303e-35	1.62173349625341e-37	8.5565116325702e-35	normal	tf
SP1	2.02470199319577	1.85622063918895	2.20773816078392	0	7.78212163888157e-55	7.08124351734054e-59	3.11284865555263e-53	normal	tf
SPI1	1.93618926770443	1.76983399377204	2.11738325747047	0	2.75589343235924e-45	1.7687666852932e-48	1.00214306631245e-44	normal	tf
SREBF1	2.49014445207854	1.9099476676398	3.24199466084158	4.06912281647465e-11	4.05826679723904e-11	4.21898455332579e-12	5.45649317275837e-11	normal	tf
SREBF2	2.38892245743471	1.59002822395485	3.57317981300983	3.78977791604118e-05	3.60118672827426e-05	2.08247493800205e-05	4.17528896031798e-05	normal	tf
SRF	2.18000454164558	1.95068475441478	2.43511921903853	0	3.67117136093417e-41	8.31395005211753e-45	1.10827814669711e-40	normal	tf
STAT1	2.11813615074917	1.82841710063551	2.45141709986107	0	1.30127936557197e-22	1.69817893654861e-24	2.16879894261995e-22	normal	tf
SUZ12	2.04937446437899	1.72757514180766	2.42754560738883	8.88178419700125e-16	7.44003992050862e-16	4.69893137791852e-17	1.10222813637165e-15	normal	tf
TAF1	2.15076048062804	1.95937598575498	2.36021477384375	0	5.14236122624316e-56	1.21698173234286e-60	2.74259265399635e-54	normal	tf
TARDBP	1.90112533611775	1.74935159550236	2.0652287955879	0	8.67645032730263e-50	3.79506982419252e-53	4.78700707713249e-49	normal	tf
TBL1XR1	1.83432509559745	1.32786876960537	2.51595050145537	0.000286279070844442	0.000283694640685946	0.000219322423619465	0.000317420576991268	normal	tf
TBP	2.34709328075494	2.06287614377803	2.66946991257022	0	7.77427687408849e-37	2.27984346282739e-40	1.91366815362178e-36	normal	tf
TCF12	1.949603238668	1.79415504587174	2.11787839560762	0	9.63793003338238e-54	1.78468457463689e-57	1.27731288217041e-52	normal	tf
TCF3	1.93551748270815	1.77865865394053	2.10542417796664	0	6.06215022669605e-51	1.81884105820521e-54	4.04143348446403e-50	normal	tf
TRIM22	1.91171386713023	1.75855457327415	2.07743923555827	0	3.05730735359226e-50	1.17841169512298e-53	1.81173769101764e-49	normal	tf
UBTF	2.14032988867717	1.8215189269403	2.51228424039718	0	1.52875209711191e-19	3.40251457247818e-21	2.47071045997884e-19	normal	tf
USF1	2.37940803209975	2.02650639038046	2.79189055547176	0	3.97620501889476e-25	1.4383296907181e-27	6.84078282820603e-25	normal	tf
USF2	2.40524394187003	2.1565577980181	2.68179202835014	0	1.03781671676345e-53	6.0471222181609e-59	1.27731288217041e-52	normal	tf
YY1	1.96463842777334	1.81265788380459	2.12871064229411	0	1.64657304785099e-58	1.78139047735242e-62	2.63451687656158e-56	normal	tf
ZBTB2	2.01300751308371	1.82827806606127	2.21537030595496	0	2.91992961839704e-44	1.38742267685649e-47	1.03819719765228e-43	normal	tf
ZBTB33	2.04774076314227	1.83199960642943	2.28753613298913	0	5.93362565610223e-35	7.84257368206587e-38	1.26584013996848e-34	normal	tf
ZBTB40	2.17692985401547	1.96342501302996	2.41266413307894	0	1.98094101921061e-47	1.91829999442709e-51	9.05573037353423e-47	normal	tf
ZEB1	2.03771670388514	1.86342050469077	2.22769487980656	0	1.04631543721724e-52	1.01347851501479e-56	9.84767470322111e-52	normal	tf
ZFP36	2.11716572766117	1.90680512864335	2.34974725177393	0	5.15809448798628e-43	1.3939843099637e-46	1.68427575117919e-42	normal	tf
ZNF143	2.00738445181053	1.84081007665262	2.18842337032912	0	8.91769057401861e-54	8.85824804122317e-58	1.27731288217041e-52	normal	tf
ZNF18	2.24775650631328	1.96924041084254	2.5641577025117	0	8.4737769774333e-32	9.97246173556439e-35	1.69475539548666e-31	normal	tf
ZNF207	2.09556784938575	1.89929888424259	2.3111761271199	0	3.02319604205714e-47	4.77146740079309e-51	1.27292464928722e-46	normal	tf
ZNF592	2.06570519589374	1.64328425461409	2.5900038487712	1.15018305990588e-09	1.08429821057066e-09	2.48608616372331e-10	1.43378275777939e-09	normal	tf
ZNF687	2.01438030948621	1.82131511592357	2.22682804341865	0	1.60544060881859e-40	1.05798450830432e-43	4.67037268019954e-40	normal	tf
ZSCAN29	2.03768169553281	1.58683302625284	2.60824823244103	4.54086226397976e-08	5.29998234867562e-08	1.43028198019945e-08	6.62497793584453e-08	normal	tf
CTCF	1.90104234894085	1.70846927178671	2.11395041797631	0	8.19431318779759e-31	5.00731012013043e-33	1.57962663861158e-30	normal	tf
RAD21	1.7225594501584	1.52992838839501	1.93752041214721	0	1.13387030414849e-18	9.67990475372508e-20	1.79623018478969e-18	normal	tf
RAD51	1.98966512459304	1.77060328624943	2.23438612613066	0	1.15416069371143e-29	5.92287130287524e-32	2.17253777639799e-29	normal	tf
ARNT	2.00935194381518	1.7635955201316	2.28747856630761	0	1.20294599218489e-24	1.29680817946749e-26	2.04756764627215e-24	normal	tf
CEBPZ	2.37720939869372	1.93423156495877	2.91828693298283	8.88178419700125e-16	8.26745502943793e-16	2.80437934150765e-17	1.20253891337279e-15	normal	tf
CHD4	2.12640923961051	1.73196116058645	2.60590679713208	1.77102776888205e-12	2.07609793564958e-12	1.90489499273692e-13	2.81504804833841e-12	normal	tf
DRAP1	1.63033079952298	1.34835238649221	1.96523327164209	6.88564637085776e-07	7.45542696196372e-07	3.70425434032972e-07	9.10586499171142e-07	normal	tf
MAFF	2.20947850115272	1.84654507650916	2.64030815095077	0	2.90956913709944e-17	7.81776179350887e-19	4.51971904792147e-17	normal	tf
SMC3	1.66396044224654	1.32475270344187	2.08105270377898	1.61781310352715e-05	1.65723771063684e-05	1.05447102751308e-05	1.93546010001383e-05	normal	tf
ZNF217	1.72134000546429	1.49989148087457	1.97275306527721	3.41948691584548e-14	3.58156817364186e-14	5.27568595674043e-15	5.02676234897103e-14	normal	tf
CEBPB	1.65350462207958	1.3823812121388	1.97264736784419	6.26558311900283e-08	5.93616207062684e-08	2.81672095792754e-08	7.36268163798678e-08	normal	tf
EP300	1.85697472483179	1.61015418459064	2.13888206162371	0	8.00782036429896e-17	5.96738058958758e-18	1.22023929360746e-16	normal	tf
NFYB	2.45928684358705	2.12281915911905	2.84797009976743	0	8.87654882870241e-32	5.12524025682303e-35	1.75339236122517e-31	normal	tf
SKIL	1.87193604877662	1.69812005927781	2.06243218390842	0	5.49856235883878e-35	1.88843455867678e-37	1.2051643526222e-34	normal	tf
TBX21	1.88329752449199	1.72337427730005	2.05715520418712	0	9.77051198146815e-43	1.26597297873737e-45	3.12656383406981e-42	normal	tf
ZBED1	1.74639504462107	1.52976500331668	1.99129928738301	4.44089209850063e-16	6.74498722950052e-16	6.65012554417224e-17	1.01811127992461e-15	normal	tf
ZMYM3	1.76535448908866	1.46161110526398	2.12672725005579	7.02540248198602e-09	7.58719763811683e-09	2.40446143324961e-09	9.78993243627978e-09	normal	tf
ZNF384	1.60328548990842	1.22776686640877	2.08049909756552	0.000610786066623792	0.000712453251233929	0.000521279604656623	0.000770219731063707	normal	tf
BMI1	1.57789200489234	1.32155841583669	1.87857861839328	6.82347987224219e-07	7.88804099360195e-07	3.8330862393868e-07	9.5612618104266e-07	normal	tf
CHD1	2.19628335064141	1.50315506396755	3.19030380550977	6.4050184255926e-05	5.75850669292626e-05	3.90454361036826e-05	6.62849691272087e-05	normal	tf
FOS	2.55744221062941	1.98402601552621	3.29288380969182	1.25188748256733e-12	1.40174272397154e-12	8.07324518327228e-14	1.91691312679869e-12	normal	tf
IRF3	2.7383410083029	2.27854885847486	3.2904182204968	0	8.00262535229733e-26	8.06879625858726e-29	1.39176093083432e-25	normal	tf
JUND	1.96626526145503	1.65740289437746	2.32890233187544	3.19744231092045e-14	3.17446791478687e-14	3.03273638875541e-15	4.4948218262469e-14	normal	tf
NFYA	2.82163795806666	2.00074833615276	3.97938242855548	6.4317502435074e-09	6.5677310491263e-09	1.0233531211095e-09	8.54338998260331e-09	normal	tf
RFX5	2.39045578119113	1.77838590003475	3.20552167193088	1.52871231229312e-08	1.36438514632401e-08	3.39899175654254e-09	1.74641298729474e-08	normal	tf
SIN3A	2.45059746712579	2.04895818813448	2.92892550191062	0	7.40389851223879e-22	5.19700866354987e-24	1.22126161026619e-21	normal	tf
ESRRA	1.90754474584203	1.47391595259901	2.45871684391551	1.4422167207151e-06	1.41507516566074e-06	6.79733223518941e-07	1.68964198884864e-06	normal	tf
FOXM1	1.78108375094562	1.55217674390856	2.04112404873036	6.66133814775094e-16	7.36114427035703e-16	7.98984623143846e-17	1.10073185351133e-15	normal	tf
JUNB	1.78377933451356	1.58061811529039	2.01109556317517	0	4.36511919530659e-20	2.02638335910526e-21	7.12672521682709e-20	normal	tf
MTA3	1.6401475620424	1.44995881001371	1.85308928875403	1.11022302462516e-14	1.21680060332264e-14	1.93088112410733e-15	1.7382865761752e-14	normal	tf
STAT2	1.5990320417625	1.29900443962909	1.96084573087459	1.27829194915829e-05	1.2949517693562e-05	8.49201132434979e-06	1.52347266983082e-05	normal	tf
TCF7	1.61602574028012	1.32380213852617	1.9660037186695	3.4050925417084e-06	3.53488060633258e-06	2.05512299427257e-06	4.18948812602379e-06	normal	tf
ZNF24	1.84342253260116	1.57039472755404	2.16035192952841	2.37587727269784e-13	2.32444949599477e-13	3.30241437459253e-14	3.20613723585485e-13	normal	tf
ZNF597	1.7266034169276	1.42758925061572	2.08249109087335	3.22588213919062e-08	3.19221941626946e-08	1.28682402409652e-08	4.02169375278042e-08	normal	tf
E2F4	2.28526361669871	1.65290663077515	3.14814267597963	9.36386469252426e-07	1.04051820799028e-06	3.49878886499162e-07	1.25175122765748e-06	normal	tf
ATF2	1.71597094855187	1.52098458229389	1.93391995396586	0	7.80914130705835e-18	6.91069800556942e-19	1.22496334228366e-17	normal	tf
BATF3	1.43121849450983	1.13341204691499	1.7971345856777	0.00280067166029618	0.00301579333528286	0.00268751024672986	0.00317451930029775	normal	tf
NFATC1	1.45685087852338	1.27195537142827	1.66566934088103	8.27323067831287e-08	8.64721417936056e-08	4.70147000620906e-08	1.06427251438284e-07	normal	tf
NFIC	1.72439299859055	1.52174926329117	1.95177755600138	0	5.77932621506102e-17	5.4452983753429e-18	8.89127110009388e-17	normal	tf
STAT5A	1.62071510088146	1.37593220393914	1.90480320130129	1.31800632630075e-08	1.43081858371126e-08	5.55323515774615e-09	1.81691248725239e-08	normal	tf
ELK1	2.52514607024283	1.87881211756345	3.38850304275861	1.77536518819466e-09	2.1778195685563e-09	2.81825644127628e-10	2.85615681122138e-09	normal	tf
CBX5	1.52254573565197	1.20174853402226	1.91877621175676	0.000571635757945721	0.00060245418006103	0.000494799692593638	0.000655732440882754	normal	tf
PAX8	1.72459659466869	1.27080811266192	2.32354940008242	0.000553549131757869	0.000506755672633914	0.000457643468828596	0.000559178673251216	normal	tf
TSC22D4	1.401655991469	1.13946342148873	1.7164459002123	0.00152561462145018	0.00146589238516317	0.0014265858322255	0.00156361854417405	normal	tf
IRF5	1.68623898623132	1.27809571717641	2.21109189446354	0.000266093609678775	0.000293789766625387	0.000210092648788331	0.000326433074028208	normal	tf
CUX1	1.5162099484009	1.00546188487549	2.24970326775096	0.0471143628458604	0.046184619101127	0.0534348765613699	0.0479840198453267	normal	tf
BRCA1	2.38432794577277	1.53813848510886	3.67652945966035	0.000132708533806314	0.000136759777515899	8.4432900314767e-05	0.000156296888589599	normal	tf
RCOR1	1.53813671764027	0.929263691389746	2.48604673150589	0.0924726455653735	0.103541586026428	0.11049851813353	0.106196498488645	normal	tf
YBX1	1.82741821927305	1.33310480049748	2.48779290066743	0.000222318181032577	0.000204786273195392	0.000166999176714921	0.000230745096558188	normal	tf
TP73	2.6212613851004	1.52449350330631	4.49090154250663	0.000595026187059089	0.000535712834943528	0.000440894936021309	0.000587082558842222	normal	tf
ZZZ3	2.27458095493018	0.539178473544827	8.91612360924379	0.246873454096438	0.25339633887816	0.385379279796948	0.256603887471554	normal	tf
NFE2	3.93208845709062	1.74438289019673	9.21227119275077	0.00106255062351668	0.000866510501922517	0.000807907503383388	0.000930481075889952	normal	tf
MAFK	4.48729346616122	2.04919802736445	10.334564716371	0.000187384997676787	0.000156017328716281	0.000105956898519713	0.00017704094038727	normal	tf
ZNF622	3.60956984838716	1.32431351515721	10.2809905488736	0.0126863664742265	0.0180442499212278	0.0142108391407572	0.0188698038391925	normal	tf
NFXL1	1.41338739071622	0.982517528744776	2.00490651259044	0.0618953840839198	0.0646979715345204	0.0699049772343702	0.0667850028743436	normal	tf
WRNIP1	1.17875858276781	0.151623532395422	5.725045646684	0.851844310937313	1	0.999999999999817	1	normal	tf
ZNF274	2.82164567020318	0.29371994711009	27.1090483410726	0.339201112046518	0.281596447974195	0.606154495349229	0.2833674948168	normal	tf
EZH2	4.13402992958647	0.629225563972678	35.5921788617435	0.134785528189966	0.116246438956916	0.225438054455968	0.118467708491124	normal	tf
ARID3A	5.44791467100886	4.69485965064452	6.30535698884641	0	5.04735278667287e-88	8.25439525098701e-138	2.3073612739076e-87	high	tf
ASH2L	5.3634263866666	4.6512995686254	6.17103007064504	0	2.1789662392802e-95	2.33523623570396e-146	2.1789662392802e-94	high	tf
ATF3	6.13236696215499	4.62399915302443	8.01188464853165	0	5.8578749480107e-27	3.03883754411499e-48	8.52054537892465e-27	high	tf
ATF7	5.10364002717509	4.44020514399229	5.85526996726602	0	3.64247491355159e-95	1.99235632461995e-142	3.23775547871253e-94	high	tf
BACH1	4.9886730526937	4.28956805905765	5.78480556644872	0	1.59607480951274e-77	2.74716721521189e-118	4.81833904758563e-77	high	tf
BATF	4.82392032204109	4.16675750589065	5.57091774339493	0	7.44072736101643e-80	2.47805124535473e-119	2.42962526074006e-79	high	tf
BCL11A	4.65102772027015	4.00209491813577	5.38936534278549	0	2.08435203766918e-72	1.06889574489772e-107	5.74993665563911e-72	high	tf
BCL3	4.00750818133583	3.31092819824871	4.81949385968338	0	7.11407365085573e-37	1.75295687553346e-54	1.13825178413692e-36	high	tf
BCLAF1	4.53987187406374	3.97179838237717	5.18040596501042	0	2.29108099653367e-91	1.33810199268799e-129	1.22190986481796e-90	high	tf
BHLHE40	5.04166340115934	4.40073290233213	5.76535690032567	0	3.95799203185673e-99	2.03820284590157e-146	5.75707931906433e-98	high	tf
CBFB	5.28125718919124	4.55226530740517	6.11106009812058	0	1.78948362901608e-85	2.47894532335767e-132	7.15793451606433e-85	high	tf
CHD2	6.65751812580746	5.49359260862007	8.02413853320912	0	5.03346203030282e-62	3.95211193013154e-111	1.10322455458692e-61	high	tf
CREB1	5.53891546511931	4.80746233050919	6.36832939646813	0	5.61202117678315e-100	9.80842684032741e-155	1.28274769755043e-98	high	tf
CREM	5.36928730018266	4.66280958495349	6.16984722604729	0	1.29206634931981e-97	2.68283159163365e-149	1.47664725636549e-96	high	tf
DPF2	5.03256890891875	4.36703988932549	5.78658346777801	0	6.89442118231181e-90	8.34069845695907e-135	3.44721059115591e-89	high	tf
E2F8	4.84782159099746	4.13316103095964	5.66621509415156	0	1.02041244869822e-66	2.64420509624071e-102	2.67649166871664e-66	high	tf
E4F1	6.77402533263538	5.71184414705151	8.00088151488699	0	5.3497338448966e-81	2.00489761423154e-142	1.86077698952925e-80	high	tf
EBF1	4.89388937513913	4.26223112436771	5.60815434976209	0	2.0881557307404e-92	5.16972408988051e-136	1.19323184613737e-91	high	tf
EED	5.01486538551543	4.37999716051042	5.73175866196365	0	1.48190767181095e-99	1.5617729829017e-146	2.37105227489751e-98	high	tf
EGR1	5.97088519763939	5.09473995818567	6.97649150787217	0	7.12750968245182e-84	2.84709086117539e-138	2.71524178379117e-83	high	tf
ELF1	4.83080495026015	4.21153023789993	5.53109809022068	0	1.415280784334e-92	2.58366372542818e-135	9.05779701973762e-92	high	tf
ETS1	5.58918730274074	4.64110896530479	6.69472894046666	0	3.61034852761497e-56	1.07799984168003e-93	7.22069705522994e-56	high	tf
ETV6	4.64770693747038	3.88291548312929	5.53476103076445	0	1.64964271281143e-49	1.18689435210349e-76	2.96564982078459e-49	high	tf
FOXK2	5.97997948004259	4.46106962836284	7.8868231760589	0	1.41211180010805e-24	1.62315632441778e-43	1.94774041394214e-24	high	tf
GABPA	6.172436762211	5.14480525464354	7.37008427718113	0	1.34248866935499e-64	2.11901851668965e-111	3.11301720430143e-64	high	tf
GATAD2B	5.23579288938571	4.53062159984621	6.03759688456606	0	8.33683492743603e-90	2.0133728544255e-137	4.04210178299929e-89	high	tf
GTF2F1	5.74944245383939	4.9302010671589	6.68588508704264	0	1.47883093498048e-86	1.69112595658341e-139	6.39494458369939e-86	high	tf
HCFC1	5.68186372529161	4.91645499127953	6.55155000343589	0	7.86898275028101e-98	6.53608980351352e-154	9.68490184649971e-97	high	tf
HDAC2	6.04978890116042	4.93292330722445	7.36863735231382	0	3.93414103283129e-50	2.05770088782887e-87	7.23520189945984e-50	high	tf
HDAC6	5.73906563826057	4.76421580080038	6.8762411666498	0	1.72894493246996e-57	7.06397992772846e-97	3.59261284669083e-57	high	tf
HDGF	4.58073971063862	4.01266489178192	5.22063032600372	0	2.15222655136692e-94	9.1268838275877e-134	1.5652556737214e-93	high	tf
HSF1	6.35752292701269	5.2051258826141	7.71644351614761	0	9.5828278850956e-55	5.18900367145907e-97	1.8698200751406e-54	high	tf
IKZF1	4.95274673421523	4.34748018704458	5.6341245653873	0	4.04618261746609e-107	1.40863766263907e-154	6.47389218794574e-105	high	tf
IKZF2	4.53770829111247	3.9095484166733	5.25234466085298	0	1.0817328148094e-71	1.77859211293267e-105	2.93351271812719e-71	high	tf
